,0
Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by Sanderson electronegativities,0.003906834267162429
Spectral mean absolute deviation from Barysz matrix / weighted by I-state,0.0037882638570909677
Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by mass,0.0037823516589974293
Z-modified information content index (neighborhood symmetry of 5-order),0.0036679211887633567
Logarithmic coefficient sum of the last eigenvector from detour matrix,0.0036284828630366306
Z-modified information content index (neighborhood symmetry of 4-order),0.003593803569638121
Normalized Randic-like eigenvector-based index from detour matrix,0.0034283042550822262
Normalized Randic-like eigenvector-based index from Barysz matrix / weighted by I-state,0.003001017004621298
Z-modified information content index (neighborhood symmetry of 2-order),0.0029348824709969357
Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by first ionization potential,0.0026767153026558965
Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by mass,0.002615077133741872
Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by van der Waals volumes,0.0019965104689170232
Spectral moment of order 1 from Barysz matrix / weighted by I-state,0.0016557389012701318
Logarithmic coefficient sum of the last eigenvector from Barysz matrix / weighted by I-state,0.0014760039230969912
